Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon
2025-08-21,Territorial sea,Portugal,Portugal - GAMA,2025/006507,Serious,37°4.33' N,8°15.27' W,No,12:10,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,,,Ship - Quarter - Bow - Port - Below the waterline,Normal service - In passage - Displacement mode,,,No routeing system,Mid-water,No,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Collision - With other ship,,,No,37.07216666666667,-8.2545
2025-08-21,Territorial sea,Portugal,Portugal - GAMA,2025/006507,Serious,37°4.33' N,8°15.27' W,No,12:10,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Deck - Poop deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Recreational craft - Motorboat,PORTUGAL - Other,PORTUGAL - Portimao,Collision - With other ship,,,No,37.07216666666667,-8.2545
2025-02-06,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/000535,Marine incident,37°32.9' N,9°47.1' W,No,16:15,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Boiler room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,SPAIN - Bilbao,SPAIN - Algeciras,Damage / loss of equipment,,,No,37.54833333333333,-9.785
2024-04-10,Territorial sea,Portugal,Portugal - GAMA,2024/001541,Marine incident,36°42.76' N,8°58.49' W,No,01:50,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,CANADA - Tangier,RUSSIAN FEDERATION - Murmansk,Damage / loss of equipment,,,No,36.712666666666664,-8.974833333333333
2019-03-03,Territorial sea,Portugal,Portugal - GAMA,2019/004978,Serious,37°5.14' N,8°26.55' W,,13:30,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Bridge - Wheelhouse,Normal service - In passage - Displacement mode,0.0,0.0,,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Contact - Shore object,,,No,37.08566666666667,-8.4425
2022-01-27,Territorial sea,Portugal,Portugal - GAMA,2022/014822,Serious,38°41.3' N,9°36' W,,10:25,0.0,1.0,,Not Investigated,Yes,Portugal - Lisboa,0.0,No damage,No,No,No,Ship - Deck - Forecastle deck,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Multipurpose - Trawler-Purse seiner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,38.68833333333333,-9.6
2022-07-13,Territorial sea,Portugal,Portugal - GAMA,2022/018564,Serious,40°55.18' N,8°52.96' W,,11:40,0.0,1.0,,Not Investigated,Yes,Portugal - Póvoa Varzim,0.0,,,No,No,Ship - Aloft,Fishing - Fishing,0.0,0.0,,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Matosinhos,PORTUGAL - Matosinhos,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,40.919666666666664,-8.882666666666667
2024-10-08,Territorial sea,Portugal,Portugal - GAMA,2024/004345,Marine incident,36°40.49' N,9°26.59' W,No,11:50,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,SPAIN - Ceuta,FRANCE - Dunkerque,Damage / loss of equipment,,,No,36.67483333333333,-9.443166666666666
2020-11-05,Territorial sea,Portugal,Portugal - GAMA,2020/007226,Very serious,40°16.48' N,9°28.36' W,No,00:40,0.0,0.0,,Ongoing,Yes,Portugal - Figueira da Foz,,Loss of ship - Actual loss,Yes,Unknown,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,Yes,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Nantes,SPAIN - Sevilla,Flooding/Foundering - Foundering,,,No,40.27466666666667,-9.472666666666667
2020-11-05,Territorial sea,Portugal,Portugal - GAMA,2020/007226,Very serious,40°16.48' N,9°28.36' W,No,00:40,0.0,0.0,,Ongoing,Yes,Portugal - Figueira da Foz,,Loss of ship - Actual loss,Yes,Unknown,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,Yes,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Nantes,SPAIN - Sevilla,Flooding/Foundering - Flooding - Massive,,,No,40.27466666666667,-9.472666666666667
2024-06-25,Territorial sea,Portugal,Portugal - GAMA,2024/002775,Serious,37°5.2' N,8°26.6' W,No,16:34,0.0,0.0,,Not Investigated,Yes,Portugal - Portimão,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Passenger ship - Only passenger - Domestic - Class D,PORTUGAL - Portimao,PORTUGAL - Portimao,Loss of control - Loss of propulsion power,,,No,37.086666666666666,-8.443333333333333
2018-04-28,High sea - Within EEZ,Portugal,Portugal - GAMA,1369/2018,Serious,37°37.28' N,27°43.17' W,No,05:00,0.0,7.0,,Not Investigated,Yes,Portugal - Ponta Delgada,,Loss of ship - Actual loss,No,No,No,Ship - Unknown,Fishing - Fishing,0.0,0.0,No routeing system,Arrival,No,,,Fishing vessel - Liner,PORTUGAL - Ponta Delgada,PORTUGAL - Ponta Delgada,Flooding/Foundering - Flooding - Massive,,,No,37.62133333333333,-27.7195
2018-05-20,Territorial sea,Portugal,Portugal - GAMA,2048/2018,Less Serious,40°48.42' N,9°3.55' W,No,07:30,0.0,1.0,,Not Investigated,Yes,Portugal - Aveiro,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,40.807,-9.059166666666666
2022-11-28,Territorial sea,Portugal,Portugal - GAMA,2022/019838,Marine incident,37°44.3' N,25°39.6' W,,20:30,0.0,1.0,,Not Investigated,Yes,Portugal - Ponta Delgada,0.0,,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0.0,0.0,,Arrival,,,,Passenger ship - Only passenger,PORTUGAL - Praia da Vitoria,PORTUGAL - Ponta Delgada,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,,37.73833333333333,-25.66
2020-06-13,Territorial sea,Portugal,Portugal - GAMA,2020/005868,Serious,39°41.7' N,9°11.6' W,No,05:00,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Propeller/rudder/thruster,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Nazare,PORTUGAL - Nazare,Loss of control - Loss of propulsion power,,,No,39.695,-9.193333333333333
2024-10-13,Territorial sea,Portugal,Portugal - GAMA,2024/004541,Serious,37°47.7' N,8°59.81' W,No,10:42,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Fishing - Fishing,0.0,0.0,No routeing system,Transit,No,,,Fishing vessel - Gillnetter,BRAZIL - Vila do Conde,PORTUGAL - Sines,Damage / loss of equipment,,,No,37.795,-8.996833333333333
2024-03-20,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/001301,Marine incident,36°35.6' N,8°34.1' W,No,15:46,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Ship - Bow - Port - Above the waterline,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,ALGERIA - Alger (Algiers),FRANCE - Rouen,Loss of control - Loss of containment,,,No,36.593333333333334,-8.568333333333333
2021-08-20,Territorial sea,Portugal,Portugal - GAMA,2021/004625,Serious,38°33.8' N,28°15.8' W,,15:50,0.0,0.0,,Not Investigated,Yes,Portugal - Horta,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Passenger ship - Passenger and general cargo,PORTUGAL - Horta,PORTUGAL - Velas,Damage / loss of equipment,,,No,38.56333333333333,-28.263333333333332
2021-08-20,Territorial sea,Portugal,Portugal - GAMA,2021/004625,Serious,38°33.8' N,28°15.8' W,,15:50,0.0,0.0,,Not Investigated,Yes,Portugal - Horta,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Passenger ship - Passenger and general cargo,PORTUGAL - Horta,PORTUGAL - Velas,Flooding/Foundering - Flooding - Progressive,,,No,38.56333333333333,-28.263333333333332
2023-01-17,Territorial sea,Portugal,Portugal - GAMA,2023/000422,Marine incident,41°48.2' N,9°7.52' W,,08:07,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,0.0,Minor damage (less than material damage),No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Deep-water route,Transit,,,,Cargo ship - Solid Cargo - Container Ship,SPAIN - Santa Cruz de Tenerife,SPAIN - Villagarcía de Arousa,Loss of control - Loss of directional control,,,No,41.803333333333335,-9.125333333333334
2018-05-11,Territorial sea,Portugal,Portugal - GAMA,2033/2018,Very serious,37°5.23' N,8°24' W,No,10:21,0.0,0.0,,Finished,Yes,Portugal - Portimão,,Material damage,Yes,No,Yes,Ship - Deck - Boat deck,Normal service - In passage - Transitional mode,0.0,0.001,No routeing system,Mid-water,Yes,,AURORA,Recreational craft - Motorboat,PORTUGAL - Armacao de Pera,PORTUGAL - Armacao de Pera,Capsizing/Listing - Capsizing,,,No,37.08716666666667,-8.4
2020-09-22,Territorial sea,Portugal,Portugal - GAMA,2020/006147,Less Serious,37°2' N,25°18.5' W,No,21:00,0.0,1.0,,Not Investigated,Yes,Portugal - Santa Cruz das Flores,,No damage,No,No,No,Accommodation - Cabin space - crew,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Vila do Porto,PORTUGAL - Praia da Vitoria,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,37.03333333333333,-25.308333333333334
2020-08-12,Territorial sea,Portugal,Portugal - GAMA,2020/006008,Serious,36°54.7' N,7°56.4' W,No,11:21,0.0,0.0,,Not Investigated,Yes,Portugal - Faro,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Multipurpose - Trawler-Purse seiner,PORTUGAL - Olhao,PORTUGAL - Olhao,Loss of control - Loss of propulsion power,,,No,36.91166666666667,-7.9399999999999995
2025-09-17,Territorial sea,Portugal,Portugal - GAMA,2025/007565,Less Serious,39°21' N,9°41.3' W,No,17:30,0.0,1.0,,Not Investigated,Yes,,0.0,,No,No,No,Ship - Unknown,Fishing - Fishing,0.0,0.0,No routeing system,Transit,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Body movement under or with physical stress (generally leading to an internal injury) - Pushing; pulling,Accident,,39.35,-9.688333333333333
2020-10-04,Territorial sea,Portugal,Portugal - GAMA,2021/000328,Less Serious,39°37.458' N,9°9.767' W,No,14:15,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,No damage,Yes,No,No,Ship - Deck - Main deck,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Nazare,PORTUGAL - Nazare,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,,39.6243,-9.162783333333334
2019-10-17,Territorial sea,Portugal,Portugal - GAMA,2019/009719,Very serious,36°56.87' N,7°54.75' W,No,04:57,0.0,0.0,,Exceptionally not investigated,Yes,Portugal - Lagos,,Loss of ship - Constructive loss,Yes,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,Unknown,,,Fishing vessel - Multipurpose - Trawler-Purse seiner,PORTUGAL - Olhao,PORTUGAL - Olhao,Capsizing/Listing - Capsizing,,,No,36.947833333333335,-7.9125
2019-10-17,Territorial sea,Portugal,Portugal - GAMA,2019/009719,Very serious,36°56.87' N,7°54.75' W,No,04:57,0.0,0.0,,Exceptionally not investigated,Yes,Portugal - Lagos,,Loss of ship - Constructive loss,Yes,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,Unknown,,,Fishing vessel - Multipurpose - Trawler-Purse seiner,PORTUGAL - Olhao,PORTUGAL - Olhao,Flooding/Foundering - Flooding - Massive,,,No,36.947833333333335,-7.9125
2019-10-17,Territorial sea,Portugal,Portugal - GAMA,2019/009719,Very serious,36°56.87' N,7°54.75' W,No,04:57,0.0,0.0,,Exceptionally not investigated,Yes,Portugal - Lagos,,Loss of ship - Constructive loss,Yes,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,Unknown,,,Fishing vessel - Multipurpose - Trawler-Purse seiner,PORTUGAL - Olhao,PORTUGAL - Olhao,Capsizing/Listing - Listing,,,No,36.947833333333335,-7.9125
2018-09-18,Territorial sea,Portugal,Portugal - GAMA,2018/000866,Less Serious,36°59.561' N,8°56.16' W,No,06:14,0.0,0.0,,Not Investigated,Yes,Portugal - Lagos,,Material damage - Affecting performance or operational characteristics of the ship,No,,,Engine department - Engine room,Normal service - In passage - Displacement mode,,,No routeing system,Mid-water,,,,Recreational craft - Sailboat (aux. motor),SPAIN - Cartagena,PORTUGAL - Lisboa,Loss of control - Loss of propulsion power,,,No,36.99268333333333,-8.936
2023-01-13,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/000283,Serious,36°18.45' N,7°38.37' W,No,15:55,0.0,0.0,,Not Investigated,Yes,,0.0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,TUNISIA - Zarzis,NORWAY - Eydehavn,Damage / loss of equipment,,,No,36.3075,-7.6395
2023-01-13,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/000283,Serious,36°18.45' N,7°38.37' W,No,15:55,0.0,0.0,,Not Investigated,Yes,,0.0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,TUNISIA - Zarzis,NORWAY - Eydehavn,Loss of control - Loss of propulsion power,,,No,36.3075,-7.6395
2024-08-07,Territorial sea,Portugal,Portugal - GAMA,2024/003806,Serious,37°5.23' N,8°24.24' W,No,15:50,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting marine infrastructure or other ship,No,No,No,Ship - Bow - Port - Above the waterline,Normal service - In passage - Displacement mode,0.0,0.0,Pilotage area,Arrival,No,,,Recreational craft - Motorboat,PORTUGAL - Lagos,PORTUGAL - Lagos,Flooding/Foundering - Foundering,,,No,37.08716666666667,-8.404
2022-08-03,Territorial sea,Portugal,Portugal - GAMA,2023/006067,Serious,37°47.2' N,9°5.7' W,No,21:30,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Over side - Starboard - Above the waterline,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Recreational craft - Motorboat,FRANCE - Bordeaux,GREECE - Athinai,Collision - With other ship,,,No,37.78666666666667,-9.095
2022-08-03,Territorial sea,Portugal,Portugal - GAMA,2023/006067,Serious,37°47.2' N,9°5.7' W,No,21:30,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,,,Ship - Unknown,Normal service - In passage - Displacement mode,,,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,Unknown,Unknown,Collision - With other ship,,,No,37.78666666666667,-9.095
2024-02-23,Territorial sea,Portugal,Portugal - GAMA,2024/000805,Serious,38°19.55' N,9°22.23' W,No,20:23,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,ALGERIA - Arzew,UNITED KINGDOM - Immingham,Loss of control - Loss of electrical power,,,No,38.325833333333335,-9.3705
2025-07-08,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/004759,Marine incident,37°38.7' N,25°20.2' W,No,09:00,0.0,1.0,,Not Investigated,Yes,,0.0,,,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Lisboa,PORTUGAL - Ponta Delgada,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,No,37.645,-25.336666666666666
2021-10-28,Territorial sea,Portugal,Portugal - GAMA,2021/005874,Very serious,40°13' N,9°29.2' W,,21:45,1.0,0.0,,Finished,Yes,Portugal - Figueira da Foz,,,,No,No,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,ALBERTINO CASTANHO,Fishing vessel - Liner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,40.21666666666667,-9.486666666666666
2020-07-10,Territorial sea,Portugal,Portugal - GAMA,2020/005896,Less Serious,41°35.42' N,8°54.3' W,No,05:30,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,Flooding/Foundering - Flooding - Progressive,,,No,41.590333333333334,-8.905
