Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon,Lat_original,Lon_original,Teatro_Maritimo
2017-09-11,Territorial sea,Portugal,Portugal - GAMA,3993/2017,Less Serious,41°40.05' N,8°43.02' W,No,07:10,0.0,1.0,,Not Investigated,Yes,Portugal - Leixões,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Matosinhos,PORTUGAL - Matosinhos,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,41.63719379936542,-8.85405149193276,41.6675,-8.717,Continente
2015-10-23,Territorial sea,Portugal,Portugal - GAMA,3630/2015,Serious,38°26.84' N,9°1.97' W,No,02:05,0.0,0.0,,Not Investigated,Yes,Portugal - Setúbal,,Material damage,No,No,No,Cargo and tank areas - Cofferdam/void space,Fishing - Gutting/handling/stowing fish,0.0,0.0,No routeing system,Transit,Unknown,,,Fishing vessel - Liner,PORTUGAL - Setubal,PORTUGAL - Setubal,Damage / loss of equipment,,,No,38.348152094063224,-9.202919947057312,38.44733333333333,-9.032833333333333,Continente
2013-11-27,High sea - Within EEZ,Portugal,Portugal - GAMA,235/2014,Very serious,40°54.5' N,9°13.5' W,No,14:30,0.0,0.0,,Finished,Yes,,0.0,Loss of ship - Constructive loss,No,No,No,Ship - Bulbous,Sailing - Running,0.0,0.0,No routeing system,,No,,Jade V,Recreational craft - Sailboat (sail only),FRANCE - La Rochelle,PORTUGAL - Cascais,Collision - With other ship,,,No,40.90833333333333,-9.225,40.90833333333333,-9.225,Continente
2013-11-27,High sea - Within EEZ,Portugal,Portugal - GAMA,235/2014,Very serious,40°54.5' N,9°13.5' W,No,14:30,0.0,0.0,,Finished,Yes,,0.0,Loss of ship - Constructive loss,No,No,No,Ship - Deck - Forecastle deck,Sailing - Running,0.0,0.0,No routeing system,,No,,Jade V,Recreational craft - Sailboat (sail only),FRANCE - La Rochelle,PORTUGAL - Cascais,Collision - With other ship,,,No,40.90833333333333,-9.225,40.90833333333333,-9.225,Continente
2013-11-27,High sea - Within EEZ,Portugal,Portugal - GAMA,235/2014,Very serious,40°54.5' N,9°13.5' W,No,14:30,0.0,0.0,,Finished,Yes,,0.0,Material damage,No,No,No,Ship - Over side,Sailing - Cruising using engine,0.0,0.0,No routeing system,Transit,No,,Estrela do Oceano,Fishing vessel - Liner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,Collision - With other ship,,,No,40.90833333333333,-9.225,40.90833333333333,-9.225,Continente
2017-02-24,Territorial sea,Portugal,Portugal - GAMA,1097/2017,Less Serious,37°59.453' N,8°55.316' W,No,01:16,0.0,1.0,,Not Investigated,Yes,Portugal - Sines,,,,,,Accommodation - Cabin space - crew,Unknown,,,Unknown,Unknown,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Sines,PORTUGAL - Sines,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,37.990883333333336,-8.921933333333333,37.990883333333336,-8.921933333333333,Continente
2017-04-25,Territorial sea,Portugal,Portugal - GAMA,1713/2017,Less Serious,40°8.52' N,8°55.26' W,No,03:00,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,40.142,-8.921,40.142,-8.921,Continente
2015-11-30,Territorial sea,Portugal,Portugal - GAMA,4079/2015,Serious,39°49' N,9°20' W,Material damage,14:30,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage,No,No,No,Cargo and tank areas - Cargo hold,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,Yes,,,Fishing vessel - Dredger,PORTUGAL - Nazare,SPAIN - Vigo,Fire/Explosion - Fire,,,No,39.81666666666667,-9.333333333333334,39.81666666666667,-9.333333333333334,Continente
2015-11-30,Territorial sea,Portugal,Portugal - GAMA,4079/2015,Serious,39°49' N,9°20' W,Material damage,14:30,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,Yes,,,Fishing vessel - Dredger,PORTUGAL - Nazare,SPAIN - Vigo,Fire/Explosion - Fire,,,No,39.81666666666667,-9.333333333333334,39.81666666666667,-9.333333333333334,Continente
2018-04-12,High sea - Within EEZ,Portugal,Portugal - GAMA,2019/003085,Less Serious,41°45.3' N,10°7.1' W,,04:50,0.0,0.0,,Not Investigated,Yes,,,Material damage - Affecting performance or operational characteristics of the ship,No,,,Engine department - Engine room,Normal service - In passage - Displacement mode,,,Recommended route,Mid-water,,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Avilés,SPAIN - Tarragona,Damage / loss of equipment,,,No,41.755,-10.118333333333334,41.755,-10.118333333333334,Continente
2017-05-04,Territorial sea,Portugal,Portugal - GAMA,2223/2017,Less Serious,40°52.08' N,8°58.44' W,No,08:00,0.0,1.0,,Not Investigated,Yes,Portugal - Leixões,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,40.868,-8.974,40.868,-8.974,Continente
2015-06-10,Territorial sea,Portugal,Portugal - GAMA,2014/2015,Less Serious,38°53.3' N,27°25.9' W,No,13:20,0.0,0.0,,Not Investigated,Yes,Portugal,,No damage,No,No,No,Ship - Other,Normal service - In passage,0.0,0.0,No routeing system,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo - International,PORTUGAL - Praia da Vitoria,SPAIN - Other,Contact - Floating object,,,No,38.888333333333335,-27.431666666666665,38.888333333333335,-27.431666666666665,Açores
2017-05-25,Territorial sea,Portugal,Portugal - GAMA,2300/2017,Serious,39°38.14' N,9°25.4' W,No,03:55,0.0,2.0,,Not Investigated,Yes,Portugal - Nazaré,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,39.635666666666665,-9.423333333333334,39.635666666666665,-9.423333333333334,Continente
2019-10-19,Territorial sea,Portugal,Portugal - GAMA,2019/008902,Very serious,37°41.74' N,9°7.9' W,,11:55,0.0,3.0,,Exceptionally not investigated,Yes,Portugal - Sines,,Loss of ship - Actual loss,Yes,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,,,,Fishing vessel - Potter,PORTUGAL - Sagres,PORTUGAL - Sesimbra,Flooding/Foundering - Flooding - Massive,,,No,37.69566666666667,-9.131666666666666,37.69566666666667,-9.131666666666666,Continente
2025-11-01,Territorial sea,Portugal,Portugal - GAMA,2025/008818,Less Serious,39°22.8' N,31°10' W,,07:20,0.0,1.0,,Not Investigated,Yes,,0.0,,,No,No,Accommodation - Stairway/Ladders,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Departure,,,,Service ship - Special purpose ship,PORTUGAL - Lajes das Flores,PORTUGAL - Other,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,39.38,-31.166666666666668,39.38,-31.166666666666668,Açores
2023-08-31,Territorial sea,Portugal,Portugal - GAMA,2023/005029,Very serious,39°25' N,9°19.2' W,,04:45,0.0,0.0,,Finished,Yes,,0.0,No damage,No,No,No,Ship - Deck - Main deck,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,SENHORA DA SAUDE,Fishing vessel - Gillnetter,PORTUGAL - Peniche,PORTUGAL - Peniche,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,No,39.419225011973936,-9.356839283756413,39.416666666666664,-9.32,Continente
2018-07-19,Territorial sea,Portugal,Portugal - GAMA,2633/2018,Very serious,40°45' N,8°54.88' W,No,05:28,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,No,Yes,Engine department - Engine room,Fishing - Fishing,0.0,2.0,No routeing system,Mid-water,Yes,,CRISTO É COMPANHEIRO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control,,,No,40.75,-8.914666666666667,40.75,-8.914666666666667,Continente
2018-07-19,Territorial sea,Portugal,Portugal - GAMA,2633/2018,Very serious,40°45' N,8°54.88' W,No,05:28,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,No,Yes,Engine department - Engine room,Fishing - Fishing,0.0,2.0,No routeing system,Mid-water,Yes,,CRISTO É COMPANHEIRO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of containment,,,No,40.75,-8.914666666666667,40.75,-8.914666666666667,Continente
2018-07-19,Territorial sea,Portugal,Portugal - GAMA,2633/2018,Very serious,40°45' N,8°54.88' W,No,05:28,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,No,Yes,Engine department - Engine room,Fishing - Fishing,0.0,2.0,No routeing system,Mid-water,Yes,,CRISTO É COMPANHEIRO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Flooding/Foundering - Flooding - Massive,,,No,40.75,-8.914666666666667,40.75,-8.914666666666667,Continente
2019-04-07,Territorial sea,Portugal,Portugal - GAMA,2019/003112,Serious,39°35.94' N,9°6.7' W,No,17:00,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Arrival,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,39.599,-9.111666666666666,39.599,-9.111666666666666,Continente
2024-05-29,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/002453,Marine incident,38°16' N,9°52' W,No,10:25,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Chemical tanker,SPAIN - Huelva,PORTUGAL - Setubal,Damage / loss of equipment,,,No,38.266666666666666,-9.866666666666667,38.266666666666666,-9.866666666666667,Continente
2024-05-29,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/002453,Marine incident,38°16' N,9°52' W,No,10:25,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Chemical tanker,SPAIN - Huelva,PORTUGAL - Setubal,Loss of control - Loss of propulsion power,,,No,38.266666666666666,-9.866666666666667,38.266666666666666,-9.866666666666667,Continente
2025-01-02,Territorial sea,Portugal,Portugal - GAMA,2025/000042,Marine incident,36°42.47' N,8°52.27' W,No,06:42,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Refrigerated Cargo,SPAIN - Ceuta,RUSSIAN FEDERATION - St Petersburg (Ex Leningrad),Damage / loss of equipment,,,No,36.70783333333333,-8.871166666666667,36.70783333333333,-8.871166666666667,Continente
2023-03-26,Territorial sea,Portugal,Portugal - GAMA,2023/002744,Serious,37°7.52' N,8°30.12' W,No,05:00,0.0,0.0,,Not Investigated,Yes,Portugal - Portimão,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel,PORTUGAL - Portimao,PORTUGAL - Portimao,Flooding/Foundering - Flooding - Massive,,,No,37.06037958242699,-8.50334544034804,37.12533333333333,-8.502,Continente
2021-03-11,Territorial sea,Portugal,Portugal - GAMA,2021/001867,Less Serious,38°59.25' N,9°46.16' W,No,11:17,0.0,0.0,,Not Investigated,Yes,Portugal - Lisboa,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Recommended route,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,GREECE - Milos,BELGIUM - Antwerpen,Loss of control - Loss of propulsion power,,,No,38.9875,-9.769333333333334,38.9875,-9.769333333333334,Continente
2021-03-11,Territorial sea,Portugal,Portugal - GAMA,2021/001867,Less Serious,38°59.25' N,9°46.16' W,No,11:17,0.0,0.0,,Not Investigated,Yes,Portugal - Lisboa,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Recommended route,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,GREECE - Milos,BELGIUM - Antwerpen,Damage / loss of equipment,,,No,38.9875,-9.769333333333334,38.9875,-9.769333333333334,Continente
2025-01-18,Territorial sea,Portugal,Portugal - GAMA,2025/000198,Less Serious,37°2' N,9°14' W,No,05:40,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,PORTUGAL - Setubal,SPAIN - Algeciras,Damage / loss of equipment,,,No,37.03333333333333,-9.233333333333333,37.03333333333333,-9.233333333333333,Continente
2025-02-25,Territorial sea,Portugal,Portugal - GAMA,2025/000926,Serious,37°33.471' N,25°33.591' W,No,02:15,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting marine infrastructure or other ship,No,No,No,Ship - Deck - Boat deck,Unknown,0.0,0.0,No routeing system,Departure,No,,,Recreational craft - Sailboat (aux. motor),PORTUGAL - Ponta Delgada,SPAIN - Other,Collision - With other ship,,,No,37.55785,-25.55985,37.55785,-25.55985,Açores
2025-02-25,Territorial sea,Portugal,Portugal - GAMA,2025/000926,Serious,37°33.471' N,25°33.591' W,No,02:15,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,,,Ship - Unknown,Normal service - In passage - Displacement mode,,,No routeing system,Mid-water,,,,Cargo ship - Solid Cargo - Bulk Carrier,Unknown,Unknown,Collision - With other ship,,,No,37.55785,-25.55985,37.55785,-25.55985,Açores
2018-11-25,High sea - Within EEZ,Portugal,Portugal - GAMA,2018/003209,Less Serious,39°50.1' N,10°6.7' W,,20:35,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Minor damage (less than material damage),No,,,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,,,,Transit,,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Loss of control - Loss of containment,,,No,39.835,-10.111666666666666,39.835,-10.111666666666666,Continente
2024-10-28,Territorial sea,Portugal,Portugal - GAMA,2024/005244,Very serious,38°39.2' N,27°15.7' W,,10:15,0.0,0.0,,Not Investigated,Yes,,0.0,Loss of ship - Constructive loss,Yes,No,No,N.A.,Other,0.0,0.0,No routeing system,Anchored or alongside,No,,,Service ship - Research ship,Unknown,Unknown,Flooding/Foundering - Flooding - Progressive,,,No,38.653333333333336,-27.261666666666667,38.653333333333336,-27.261666666666667,Açores
2023-09-05,Territorial sea,Portugal,Portugal - GAMA,2023/005471,Serious,39°53.3' N,9°23.7' W,No,17:00,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Control room,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel,PORTUGAL - Nazare,PORTUGAL - Leixoes,Damage / loss of equipment,,,No,39.888333333333335,-9.395,39.888333333333335,-9.395,Continente
2019-08-01,Territorial sea,Portugal,Portugal - GAMA,2019/005710,Serious,37°4.626' N,8°40.175' W,No,12:05,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,,Minor damage (less than material damage),No,No,No,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Contact - Shore object,,,No,37.0771,-8.669583333333334,37.0771,-8.669583333333334,Continente
2019-08-01,Territorial sea,Portugal,Portugal - GAMA,2019/005710,Serious,37°4.626' N,8°40.175' W,No,12:05,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,,Minor damage (less than material damage),No,No,No,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Flooding/Foundering - Flooding - Progressive,,,No,37.0771,-8.669583333333334,37.0771,-8.669583333333334,Continente
2018-06-30,High sea - Outside EEZ,Portugal,Portugal - GAMA,2018/0001548,Less Serious,36°21' N,23°39' W,,09:00,0.0,1.0,,Not Investigated,Yes,,,No damage,No,No,No,Ship - Deck - Boat deck,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Liner,PORTUGAL - Ponta Delgada,PORTUGAL - Ponta Delgada,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,No,36.35,-23.65,36.35,-23.65,Açores
2023-12-09,Territorial sea,Portugal,Portugal - GAMA,2024/000068,Less Serious,37°3.2' N,8°29.5' W,No,12:20,0.0,1.0,,Not Investigated,Yes,,0.0,,No,No,No,Ship - Deck - Open deck,Fishing - Gutting/handling/stowing fish,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel,PORTUGAL - Portimao,PORTUGAL - Portimao,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,37.053333333333335,-8.491666666666667,37.053333333333335,-8.491666666666667,Continente
2025-05-11,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/002989,Less Serious,38°1' N,9°54.4' W,,19:00,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,SPAIN - Ferrol,TURKEY - Tuzla,Damage / loss of equipment,,,No,38.016666666666666,-9.906666666666666,38.016666666666666,-9.906666666666666,Continente
2022-10-20,Territorial sea,Portugal,Portugal - GAMA,2022/018831,Serious,38°33.787' N,9°35.791' W,No,18:55,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Leaving or approaching TSS,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Leixoes,PORTUGAL - Setubal,Loss of control - Loss of directional control,,,No,38.563116666666666,-9.596516666666666,38.563116666666666,-9.596516666666666,Continente
2022-02-05,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/015161,Serious,30°2.29' N,14°35.19' W,Material damage - With operational consequences,06:05,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),,No,No,Ship - Bow - Port - Above the waterline,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Liquified gas tanker - LNG - Type 3G,SPAIN - Las Palmas,SPAIN - Arrecife de Lanzarote,Collision - With other ship,,,No,30.038166666666665,-14.5865,30.038166666666665,-14.5865,Madeira
2022-02-05,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/015161,Serious,30°2.29' N,14°35.19' W,Material damage - With operational consequences,06:05,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting structural integrity of the ship,No,,,Ship - Over side - Port - Below the waterline,Sailing - On the port tack,,,No routeing system,Mid-water,No,,,Recreational craft - Sailboat (aux. motor),Unknown,Unknown,Collision - With other ship,,,No,30.038166666666665,-14.5865,30.038166666666665,-14.5865,Madeira
2022-11-10,Territorial sea,Portugal,Portugal - GAMA,2022/019478,Very serious,40°52.6' N,8°48.6' W,,17:45,0.0,0.0,,Finished,Yes,Portugal - Aveiro,1.0,,No,No,No,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,0.0,0.0,,Transit,No,,VIRGILIO MIGUEL,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Vila do Conde,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,40.876666666666665,-8.81,40.876666666666665,-8.81,Continente
2024-03-23,Territorial sea,Portugal,Portugal - GAMA,2024/001302,Marine incident,36°45.2' N,8°13.42' W,No,18:43,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,In a traffic lane,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Brest,SPAIN - Carboneras,Loss of control - Loss of propulsion power,,,No,36.75333333333333,-8.223666666666666,36.75333333333333,-8.223666666666666,Continente
2024-07-24,Territorial sea,Portugal,Portugal - GAMA,2024/003505,Less Serious,38°36.2' N,9°32.8' W,No,21:30,0.0,1.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Accommodation - Galley spaces,Normal service - In passage - Displacement mode,0.0,0.0,Recommended route,Mid-water,,,,Passenger ship - Only passenger,PORTUGAL - Lisboa,UNITED KINGDOM - Southampton,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,38.60333333333333,-9.546666666666667,38.60333333333333,-9.546666666666667,Continente
2019-02-20,Territorial sea,Portugal,Portugal - GAMA,2019/004972,Serious,36°56.1' N,7°56.21' W,Material damage - Without operational consequences,20:30,0.0,0.0,,Not Investigated,Yes,Portugal - Faro,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,,,,Fishing vessel - Trawler - Stern,SPAIN - Isla Cristina,PORTUGAL - Sagres,Loss of control - Loss of propulsion power,,,No,36.935,-7.936833333333333,36.935,-7.936833333333333,Continente
2022-06-08,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/018560,Serious,41°22.9' N,9°15.1' W,,18:30,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,0.0,No damage,No,No,No,Engine department - Engine room,Fishing - Fishing,0.0,0.0,,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,Loss of control - Loss of propulsion power,,,No,41.38166666666667,-9.251666666666667,41.38166666666667,-9.251666666666667,Continente
2025-01-22,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/000253,Marine incident,36°53.074' N,9°44.28' W,No,13:37,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Lisboa,TURKEY - Gemlik,Damage / loss of equipment,,,No,36.884566666666665,-9.738,36.884566666666665,-9.738,Continente
2023-04-26,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/003201,Marine incident,41°2' N,10°4' W,No,17:00,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,POLAND - Szczecin,GREECE - Other,Damage / loss of equipment,,,No,41.03333333333333,-10.066666666666666,41.03333333333333,-10.066666666666666,Continente
2025-07-27,Territorial sea,Portugal,Portugal - GAMA,2025/005414,Less Serious,39°37.5' N,9°16.6' W,No,06:10,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,TURKEY - Hereke,UNITED KINGDOM - Boston,Damage / loss of equipment,,,No,39.625,-9.276666666666667,39.625,-9.276666666666667,Continente
2019-08-10,Territorial sea,Portugal,Portugal - GAMA,2019/009660,Serious,37°5.13' N,8°25.28' W,No,17:50,0.0,3.0,,Not Investigated,Yes,Portugal - Portimão,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Capsizing/Listing - Capsizing,,,No,37.0855,-8.421333333333333,37.0855,-8.421333333333333,Continente
2025-01-22,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/000254,Marine incident,37°1.1' N,9°27.5' W,No,13:57,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,NETHERLANDS - Rotterdam,UKRAINE - Other,Damage / loss of equipment,,,No,37.01833333333333,-9.458333333333334,37.01833333333333,-9.458333333333334,Continente
2020-08-19,Territorial sea,Portugal,Portugal - GAMA,2020/005354,Very serious,41°9.424' N,8°42.235' W,No,04:30,0.0,0.0,,Finished,Yes,Portugal - Leixões,,Loss of ship - Actual loss,Yes,No,No,Engine department - Engine room,Fishing - Towing fishing gear,0.0,0.0,No routeing system,Mid-water,No,,Nova Estrelinha,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,Capsizing/Listing - Capsizing,,,No,41.1552470542511,-8.747158440548944,41.157066666666665,-8.703916666666666,Continente
2020-08-19,Territorial sea,Portugal,Portugal - GAMA,2020/005354,Very serious,41°9.424' N,8°42.235' W,No,04:30,0.0,0.0,,Finished,Yes,Portugal - Leixões,,Loss of ship - Actual loss,Yes,No,No,Engine department - Engine room,Fishing - Towing fishing gear,0.0,0.0,No routeing system,Mid-water,No,,Nova Estrelinha,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,Damage / loss of equipment,,,No,41.1552470542511,-8.747158440548944,41.157066666666665,-8.703916666666666,Continente
2024-01-25,Territorial sea,Portugal,Portugal - GAMA,2024/000646,Less Serious,36°35.27' N,8°56.7' W,No,03:33,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,GREECE - Syros (Syra),UNITED KINGDOM - Falmouth,Loss of control - Loss of propulsion power,,,No,36.587833333333336,-8.945,36.587833333333336,-8.945,Continente
